"Team Name","First Name","Last Name","Email","Manager Email","Monday","Tuesday","Wednesday","Thursday","Friday","KeepEmpty"
"G1T1","Gale","Mante","gale.mante@worldcompany.com","madalyn.bruen@worldcompany.com","T","","T","",""
"G1T1","Jannet","Crooks","jannet.crooks@worldcompany.com","madalyn.bruen@worldcompany.com","T","","T","F",""
"G1T1","Mauro","Heaney","mauro.heaney@worldcompany.com","madalyn.bruen@worldcompany.com","T","","T","F",""
"G1T1","Ariel","Hagenes","ariel.hagenes@worldcompany.com","madalyn.bruen@worldcompany.com","T","","T","",""
"G1T1","Bart","Kris","bart.kris@worldcompany.com","madalyn.bruen@worldcompany.com","T","","T","",""
"G1T1","Jarrett","Hickle","jarrett.hickle@worldcompany.com","madalyn.bruen@worldcompany.com","T","","T","",""
"G1T2","Dillon","Torphy","dillon.torphy@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Benjamin","Simonis","benjamin.simonis@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Twana","Bergstrom","twana.bergstrom@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","","F"
"G1T2","Jenine","O'Reilly","jenine.o'reilly@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Quinton","McKenzie","quinton.mckenzie@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Hoyt","Lueilwitz","hoyt.lueilwitz@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Noe","Dach","noe.dach@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Kenneth","Wyman","kenneth.wyman@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Ernie","Runolfsdottir","ernie.runolfsdottir@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Janean","Leuschke","janean.leuschke@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Eleonore","Zulauf","eleonore.zulauf@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Brigida","Wyman","brigida.wyman@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Winfred","Reichel","winfred.reichel@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Jacalyn","Zieme","jacalyn.zieme@worldcompany.com","tyisha.sawayn@worldcompany.com","T","F","T","F","F"
"G1T2","Noel","Murphy","noel.murphy@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Rochelle","Jaskolski","rochelle.jaskolski@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
"G1T2","Rudy","Hodkiewicz","rudy.hodkiewicz@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","","F"
"G1T2","Lela","Kihn","lela.kihn@worldcompany.com","tyisha.sawayn@worldcompany.com","T","","T","",""
